Movie,URL,Year,Director,Cast,Genre,Movie_ID
 102 Dalmatians,https://en.wikipedia.org/wiki/102_Dalmatians,2000,Kevin Lima,"Glenn Close, Gérard Depardieu, Alice Evans","Comedy, family",1
28 Days,https://en.wikipedia.org/wiki/28_Days_(film),2000,Betty Thomas,"Sandra Bullock, Viggo Mortensen",Drama,2
3 Strikes,https://en.wikipedia.org/wiki/3_Strikes_(film),2000,DJ Pooh,"Brian Hooks, N'Bushe Wright",Comedy,3
The 6th Day,https://en.wikipedia.org/wiki/The_6th_Day,2000,Roger Spottiswoode,"Arnold Schwarzenegger, Robert Duvall",Science fiction,4
 Across the Line,https://en.wikipedia.org/wiki/Across_the_Line_(2000_film),2000,Martin Spottl,"Brad Johnson, Adrienne Barbeau, Brian Bloom",Thriller,5
Adventures in Wild California,https://en.wikipedia.org/wiki/Adventures_in_Wild_California,2000,Greg MacGillivray,Jimmy Smits (Narrator),Documentary,6
The Adventures of Rocky and Bullwinkle,https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle,2000,Des McAnuff,"Rene Russo, Jason Alexander, Robert De Niro, Piper Perabo, June Foray, Keith Scott",Comedy,7
All the Pretty Horses,https://en.wikipedia.org/wiki/All_the_Pretty_Horses_(film),2000,Billy Bob Thornton,"Matt Damon, Penélope Cruz, Henry Thomas, Lucas Black, Rubén Blades, Míriam Colón, Bruce Dern",Western,8
Almost Famous,https://en.wikipedia.org/wiki/Almost_Famous,2000,Cameron Crowe,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee, Patrick Fugit, Anna Paquin, Fairuza Balk","Comedy, Drama",9
American Psycho,https://en.wikipedia.org/wiki/American_Psycho_(film),2000,Mary Harron,"Christian Bale, Chloë Sevigny, Willem Dafoe","Comedy, Thriller",10
Animal Factory,https://en.wikipedia.org/wiki/Animal_Factory,2000,Steve Buscemi,"Willem Dafoe, Edward Furlong, Mickey Rourke",Crime drama,11
The Art of War,https://en.wikipedia.org/wiki/The_Art_of_War_(film),2000,Christian Duguay,"Wesley Snipes, Donald Sutherland",Action,12
Autumn in New York,https://en.wikipedia.org/wiki/Autumn_in_New_York_(film),2000,Joan Chen,"Richard Gere, Winona Ryder",Romance,13
 Bait,https://en.wikipedia.org/wiki/Bait_(2000_film),2000,Antoine Fuqua,"Jamie Foxx, David Morse, Kimberly Elise",Action,14
Bamboozled,https://en.wikipedia.org/wiki/Bamboozled,2000,Spike Lee,"Damon Wayans, Jada Pinkett Smith, Savion Glover, Michael Rapaport, Tommy Davidson",Satire,15
Battlefield Earth,https://en.wikipedia.org/wiki/Battlefield_Earth_(film),2000,Roger Christian,"John Travolta, Forest Whitaker, Barry Pepper",Science fiction,16
The Beach,https://en.wikipedia.org/wiki/The_Beach_(film),2000,Danny Boyle,"Leonardo DiCaprio, Virginie Ledoyen, Tilda Swinton",Adventure,17
Beat,https://en.wikipedia.org/wiki/Beat_(2000_film),2000,Gary Walkow,"Courtney Love, Kiefer Sutherland",Drama,18
Beautiful,https://en.wikipedia.org/wiki/Beautiful_(2000_film),2000,Sally Field,"Minnie Driver, Hallie Kate Eisenberg, Kathleen Turner",Comedy,19
Beautiful Joe,https://en.wikipedia.org/wiki/Beautiful_Joe_(film),2000,Stephen Metcalfe,"Sharon Stone, Billy Connolly","Comedy, Drama",20
Bedazzled,https://en.wikipedia.org/wiki/Bedazzled_(2000_film),2000,Harold Ramis,"Brendan Fraser, Elizabeth Hurley",Comedy,21
Before Night Falls,https://en.wikipedia.org/wiki/Before_Night_Falls_(film),2000,Julian Schnabel,"Javier Bardem, Johnny Depp",Biography,22
Best in Show,https://en.wikipedia.org/wiki/Best_in_Show_(film),2000,Christopher Guest,"Parker Posey, Michael McKean, Catherine O'Hara, Eugene Levy, Michael Hitchcock, Jennifer Coolidge",Mockumentary,23
Big Momma's House,https://en.wikipedia.org/wiki/Big_Momma%27s_House,2000,Raja Gosnell,"Martin Lawrence, Paul Giamatti",Comedy,24
The Big Tease,https://en.wikipedia.org/wiki/The_Big_Tease,2000,Kevin Allen,"Craig Ferguson, Frances Fisher, Mary McCormack",Comedy,25
Bless the Child,https://en.wikipedia.org/wiki/Bless_the_Child,2000,Chuck Russell,"Kim Basinger, Jimmy Smits, Christina Ricci",Thriller,26
Boiler Room,https://en.wikipedia.org/wiki/Boiler_Room_(film),2000,Ben Younger,"Giovanni Ribisi, Nia Long, Vin Diesel, Ben Affleck",Drama,27
Book of Shadows: Blair Witch 2,https://en.wikipedia.org/wiki/Book_of_Shadows:_Blair_Witch_2,2000,Joe Berlinger,"Kim Director, Jeffrey Donovan, Erica Leerhsen",Horror,28
Bounce,https://en.wikipedia.org/wiki/Bounce_(film),2000,Don Roos,"Ben Affleck, Gwyneth Paltrow",Drama,29
A Boy Named Sue,https://en.wikipedia.org/wiki/A_Boy_Named_Sue_(film),2000,Julie Wyman,sex reassignment surgery,Documentary,30
Boys and Girls,https://en.wikipedia.org/wiki/Boys_and_Girls_(2000_film),2000,Robert Iscove,"Claire Forlani, Freddie Prinze, Jr., Jason Biggs",Comedy,31
